image_id,filename,sha256,sha256_12,mime_type,byte_size,pixel_width,pixel_height,mode,use_count,status
image-58d70700d6176da7e742d18dd3a493e0b15112b8,28b7ed5c86af.png,28b7ed5c86af9027992aff21bfa8871a12db130de7798a40a837ac4aa96b715d,28b7ed5c86af,image/png,18938,919,244,RGBA,1,extracted
image-6273ed1e9f6bb87bd1a265daed77a5e078fcd4ec,4f703a630ec4.png,4f703a630ec4cd335ae0d2340716022b13a2cbe5456c32e0e38d617faf427816,4f703a630ec4,image/png,23466,935,339,RGBA,1,extracted
image-e6ec5b407cd421859a185245bd6086e209725f4a,8b0b185cdb20.png,8b0b185cdb20ab62ec85018694a8dde1bf8ba650f4558002a8fbda231cd067ce,8b0b185cdb20,image/png,45693,964,562,RGBA,1,extracted
image-798c9f6c3bdfbdecb2081246d33861065f784cfc,f911c9d4b7e8.png,f911c9d4b7e81bd21a1d25c4ab774664c19931261922801d0766ea87d66bbbe0,f911c9d4b7e8,image/png,45321,1005,490,RGBA,1,extracted
image-27909c3e06216728d506af4f0dcb56d7578b0d85,3f3811f9cfc3.png,3f3811f9cfc33e6c027b5aa128d563acdca85279622b9feb0ae54ece0348657d,3f3811f9cfc3,image/png,47037,913,433,RGBA,1,extracted
image-08043463a81f572808083174b54bf83685207037,029a8dc52348.png,029a8dc52348a40d8c9b8f319979f4f71f6ecc27ebfaea4b16cd5f2a0c8240b9,029a8dc52348,image/png,22427,926,188,RGBA,1,extracted
