use_id,image_id,filename,sha256_12,region_id,x,y,width,height,opacity,duplicate_of_use_id,nearest_text_ids,nearest_captions,status
IU-001,image-b52d17abe49583513cbd267b9f54fa09ca12e5f9,f4aa1bb14025.png,f4aa1bb14025,R01,10.0,364.73228026257175,1205.0,456.0,1.0,,T-001,regex ctor,pending_transcript
IU-002,image-557952b0074d373a7602af9d8ee496198703d811,8412566ad4d8.png,8412566ad4d8,R03,1733.40771029179,654.5826259574501,731.0,177.0,1.0,,T-001,regex ctor,pending_transcript
IU-003,image-ab0b8d066596dbd15740d90963449d1c0dc745b0,f472c8c6fa1f.png,f472c8c6fa1f,R02,1683.0038425124342,503.71635490956686,571.0,75.0,1.0,,T-001,regex ctor,pending_transcript
IU-004,image-9e444cfa0d98f5891f2f6b74d8d55c52ffe2caa2,720f1569abd4.png,720f1569abd4,R02,1661.5189570365817,256.3375485352837,997.0,194.0,1.0,,T-001,regex ctor,pending_transcript
IU-005,image-811c0977baf759373e633827bbd6e3354a0d24e0,92a80c0550d8.png,92a80c0550d8,R01,101.67970698263275,960.8502904093788,828.0,315.0,1.0,,T-001,regex ctor,pending_transcript
