image_id,filename,sha256,sha256_12,mime_type,byte_size,pixel_width,pixel_height,mode,duplicate_content_of_image_id,use_count,status
image-91a4388628cd718f907925be59e79a4f90fd4007,5210133c7a55.png,5210133c7a555ca00a01391482a5b84207e1fee7557c0378cb92fdbd3c4f1bfc,5210133c7a55,image/png,15393,1036,167,RGBA,,1,extracted
image-341dcb865ab09ac847174d869ca6bd5a596d41d8,2ca8360569d8.png,2ca8360569d883b80ead015409bd1ab53082d524ced2c45adafc58fc30976b47,2ca8360569d8,image/png,16191,861,241,RGBA,,1,extracted
image-7867cd0669bc991eb5a3d89ca4867f3be2073309,358c697db371.png,358c697db3714022b3b5d6f963b0277e16148dfad4b0c3b6a1157ceeecf39de2,358c697db371,image/png,14041,952,226,RGBA,,1,extracted
image-fc4a9cd00a31128499f9b0ca9ac0704adabcdaa4,99ee7d26e99f.png,99ee7d26e99fe26b89fdb6696b79669695d25162f14d7aa9813aaa855237dc3a,99ee7d26e99f,image/png,22836,929,312,RGBA,,1,extracted
image-4771f06fb46be576f58d66af6c471215bf49aa55,1d08f9ff85a2.png,1d08f9ff85a2795059fea9d3320fad2dbef65720e613ea73fdc81f202dbcfecc,1d08f9ff85a2,image/png,26754,802,411,RGBA,,1,extracted
image-6fc39846d725c62688951b2a2c975d6ab9798fce,53e042c6a5ec.png,53e042c6a5ecd9883397cd6c7916fa25363d97c6e0ea94aefbc91fb464b1caeb,53e042c6a5ec,image/png,24779,1071,251,RGBA,,1,extracted
image-04b6d5ba9dcc331c61d5929b809ed67d637903cb,97b165eb7ff2.png,97b165eb7ff21406675dcac18e860c50bcfb429c3540c9255305743e3b4b53e7,97b165eb7ff2,image/png,41051,1008,602,RGBA,,1,extracted
image-b15906c2c32100e7686541c982eb862534d18779,327d1f07a5e7.png,327d1f07a5e7d0c663f213d48bf3c1c000fcaae461c3b7f144739d51f1fe0d0e,327d1f07a5e7,image/png,21965,1040,232,RGBA,,1,extracted
image-086fed61e50c543aedc7c52a01806d384a9eac20,7c773e0475ac.png,7c773e0475acc5b963e858912021f19d45125a27376d059da4169fc73170b6b0,7c773e0475ac,image/png,38881,975,495,RGBA,,1,extracted
image-b4e1fe282fda7b03d80a44ad5cdab3ad9883a24e,f45d78385ccf.png,f45d78385ccfb75f01f4870a549ce90dbda504ffff211b5d29c6603780ea411b,f45d78385ccf,image/png,44269,935,493,RGBA,,1,extracted
image-83d226e8ed35a9f4726b6583e650b535343dc8bf,0732bf36c761.png,0732bf36c7614a1fcfeb7518ae8dc9f9e71c7f778746151ce2225dda1d17351f,0732bf36c761,image/png,29872,966,417,RGBA,,1,extracted
image-59bcfa16297f870bf10f6ed99a66428adca776e7,1ced5880dc60.png,1ced5880dc60ffc0b862d9583da4f3ffa5bc7ca3c9cb22d8e4f52c3a3a4d07fb,1ced5880dc60,image/png,28444,929,384,RGBA,,1,extracted
image-980d64009e8ee38546c3c9eac96613c7d6443af2,8a10937d167c.png,8a10937d167cb88c94e7be65bba70cb6bdb353872678ff10a88999915e23fc9f,8a10937d167c,image/png,20193,994,265,RGBA,,1,extracted
