image_id,filename,sha256,sha256_12,mime_type,byte_size,pixel_width,pixel_height,mode,duplicate_content_of_image_id,use_count,status
image-630842337cd486bca6d72a06fe6619febaf7bb86,f1d088422f03.png,f1d088422f03dbdce8ad9164e8d0d2088a3192cd038813b31704253a4f9dfbc3,f1d088422f03,image/png,36470,953,536,RGBA,,1,extracted
image-feb27f26e1ed68247e4e797a45ebf2dba619175a,2db8e50530ef.png,2db8e50530efe473bdd5ab28dbe0ab6b985af59d47bc798bcda8e3e0997f411e,2db8e50530ef,image/png,16505,976,190,RGBA,,1,extracted
image-93d18d91ac2ac256f924557605b80a7622cee6a0,cfd2dfeed4f0.png,cfd2dfeed4f04b44f5f3fe2112088780f283ed01c9adb45d214c910b649691ec,cfd2dfeed4f0,image/png,36797,909,517,RGBA,,1,extracted
image-3062c0d41abbd7a98ab44556c79ce74eb15c6f65,94610609ee5e.png,94610609ee5e86c444579275b7091c4ecceeec0ec06ec9fafacea530a44f6019,94610609ee5e,image/png,16377,920,193,RGBA,,1,extracted
image-66603e91daf8b82b976cbf38aac250e5c6e65212,1e71d0cd1117.png,1e71d0cd1117407f65123eb80fca6c6ac9734de5fdf815162cdeb5098171221e,1e71d0cd1117,image/png,44115,940,565,RGBA,,1,extracted
image-edeedd3f5753936bf98c9e8e5660bbf3efdf6702,7d66f2a34e3b.png,7d66f2a34e3ba04c0fd79656916d495413c1b98dbedd340a7daebba71784cb0a,7d66f2a34e3b,image/png,45995,947,658,RGBA,,1,extracted
image-30ee15853ccfe678e9b2847bf25a1b3e53af86da,ac439f32f7cc.png,ac439f32f7cc073871019e6ff8b65c820e73d5d3e382c0a906d9a59f51706131,ac439f32f7cc,image/png,13643,910,168,RGBA,,1,extracted
image-29e242e8e789093793cdcdab8c4ebc69c44c86f9,6b7ad3df0e7c.png,6b7ad3df0e7c51590e9be439e42586c61cd9b9fe549ac500b95fba3a0b1d7d86,6b7ad3df0e7c,image/png,43764,945,530,RGBA,,1,extracted
image-92ee2140b6a2ec69ca040cd8d544343190e1b887,a9bee397e941.png,a9bee397e94143ec9b7bd71da87ab9903da608cf786d3dbf5f0142f0d4d5aa20,a9bee397e941,image/png,12086,987,163,RGBA,,1,extracted
image-5723a2bb6764f021ad8d2f6a50d381cc2a014aa5,aa557a877bf5.png,aa557a877bf54a69259d347df18c96e1130f42a1218f6a467851d47d67569901,aa557a877bf5,image/png,50448,964,561,RGBA,,1,extracted
image-d5f22da6e6713775dbcee5b9c35f3d2aadc84317,a0a1746a01f2.png,a0a1746a01f29a641db3662f6c173c98f346bb3259ca5d0ece5ac830a801fac9,a0a1746a01f2,image/png,16303,894,218,RGBA,,1,extracted
image-ca9b3c62f7fba09e914df412f377c045e95f3ba7,95a28b1d47bb.png,95a28b1d47bb8c38fb67c30e098f10610e56ae9cd86656df1a55f97c9eba586a,95a28b1d47bb,image/png,24553,955,295,RGBA,,1,extracted
image-f24c1b0225c3518b9d38412c87dcc60a236b89c9,cc6929df12fc.png,cc6929df12fc1ce37e8eedfb4c71dc1e1f69071af2999e358323870d497b78eb,cc6929df12fc,image/png,43894,931,571,RGBA,,1,extracted
image-7ceed4b709cb47191ef68c602a424a2a01c4f779,f5ec3b5aad9c.png,f5ec3b5aad9cf7809edf71e51ac119bea4f0454a9cec758cd348da53b34100f5,f5ec3b5aad9c,image/png,31603,996,385,RGBA,,1,extracted
image-1c495eb5b68bff8466d5d3f765d199da6e209f4a,be34d1e470a6.png,be34d1e470a624e70b64503705865a793ed3c8df00e7c8abe32be174876d82fd,be34d1e470a6,image/png,34546,1033,411,RGBA,,1,extracted
image-1f53d6a64505138259f3cc5ebfa8d4c21214f73f,b522fdecc1a7.png,b522fdecc1a790486a507c0747af23858aa79355fc1ed32e01533ec27146da27,b522fdecc1a7,image/png,39014,932,547,RGBA,,1,extracted
image-9b0d9100e273d284a563650d31666aa86c6262ec,5aa62419e7c6.png,5aa62419e7c6c5000d8b65f64df4b5aab8a5ff6f706037645c9ac59e4e893d54,5aa62419e7c6,image/png,43313,928,563,RGBA,,1,extracted
image-c9e4de3ac0f1f3be0274bdecd31ac5b4695db836,1c0c94cb6d12.png,1c0c94cb6d12bb63e0bec6e3fde3ca724c71f789283f0aa9e2e0cccabb7b47a0,1c0c94cb6d12,image/png,39069,985,421,RGBA,,1,extracted
image-a37014546fa6c1e5f9c3d6fc99ac293cb6a4c026,62e245fce27b.png,62e245fce27b99914da64c5de527f0fb4e1a14865b9fe818b44bf7d47ec9c101,62e245fce27b,image/png,53036,937,677,RGBA,,1,extracted
image-ba06a79a9d5342c50284dc80186f9ac03df98fcf,83ec3b0b8a27.png,83ec3b0b8a27f4acaa795754e95beb58eb979ad6095e6d3f2f5c49664efd63ed,83ec3b0b8a27,image/png,7206,479,101,RGBA,,1,extracted
image-b7cd11379c6f4460c45a6b70f7409067660d91bc,3be4c070ce30.png,3be4c070ce306a332381997d35998bc284709ed7ece2e5509f0648ce02dba112,3be4c070ce30,image/png,43984,933,602,RGBA,,1,extracted
image-a9389ae6be8e94a1b4b1f73af288ce2c3b84879b,5fa4cc14ca4c.png,5fa4cc14ca4c41dbf7c8d876bff91a96d038c110c4a714f2bc043de08897edb1,5fa4cc14ca4c,image/png,33897,1015,508,RGBA,,1,extracted
image-e67f8d4be66ff0a341653099b97bce12c860dea7,2e1e76457bca.png,2e1e76457bca84e27fc2d6b24446ff6edf9ddd3f7e8ced117157c5d4e38f78ca,2e1e76457bca,image/png,31592,901,439,RGBA,,1,extracted
image-c2e8e2a4f0d08d3dd72fa17b0af5152eacdac390,3125cf4e587e.png,3125cf4e587ee75ffce25f7865aa6a785a56ac85e688b38fc0dc6789aacb5c1c,3125cf4e587e,image/png,44224,955,632,RGBA,,1,extracted
image-fad68c34c69edda00e17c9a96f9254e705a38f30,bd482970a5d7.png,bd482970a5d7f59d0179c4fc013a39b5c9ad2046bd7cce90269b693f1d820cec,bd482970a5d7,image/png,30321,904,432,RGBA,,1,extracted
image-1bfaa571b521c717567f1c11132978484fe6f1c6,6df1e10d6508.png,6df1e10d6508e8dcd1b78715d61f53703ecfeb855221e1255455c2a17a7e82cb,6df1e10d6508,image/png,28881,917,475,RGBA,,1,extracted
image-d059975be1459a6b3117b19e83c31ae83c859a8f,3b97fe63798b.png,3b97fe63798b6ed6f8079bfdf83c51f0f4907a7c079fb87f85f61201015094b2,3b97fe63798b,image/png,29752,975,471,RGBA,,1,extracted
image-70b71b264192884dba928ecef6708183066ded75,7de0302cb462.png,7de0302cb46292d016f76753e853bb45a8e9468170a5d89391628a854f9edc60,7de0302cb462,image/png,4975,595,83,RGBA,,1,extracted
image-95c1eba233ead1223ea244a029ef12f99fbeaf0e,2fe0bcc287c2.png,2fe0bcc287c2706cea145b718225782f65bb3c8a948e6832c90398031a51f999,2fe0bcc287c2,image/png,17415,906,280,RGBA,,1,extracted
