source_id,image_use_id,symbol_id,sha256,file,x,y,width,height
S-001,,image-20c173f90cf8bef3d3c152af1ab64bdaad8a68e5,69e15c27949fa382b7ff6cf21add56327015943f1f2a3dc9c946976f92575bbb,69e15c27949fa382b7ff6cf21add56327015943f1f2a3dc9c946976f92575bbb.png,1199.667,38.183,972.0,482.0
S-002,,image-25f7e074fd35142d79df91ca629af35e31192da6,3ea7b8af120323483d9325ebd4c6557b8e1cf83bf55bcc92b94396c5e7923a50,3ea7b8af120323483d9325ebd4c6557b8e1cf83bf55bcc92b94396c5e7923a50.png,67.469,170.193,597.0,482.0
S-003,,image-a5963e8f7c3a29d9e85f5b14aca7f08e219001cb,901010887b90afe38ea97a84238cd324e3b39ba8e6ee7d580f49d1ed4b85b17f,901010887b90afe38ea97a84238cd324e3b39ba8e6ee7d580f49d1ed4b85b17f.png,1249.091,559.517,820.0,482.0
S-004,,image-18d6e4fb30bcc803f3bda223aeebd9fc5af27f5f,7914dad28cf0a00b91b082504dab7fb9ed48376a0f8f584f730605e5b41fa2c6,7914dad28cf0a00b91b082504dab7fb9ed48376a0f8f584f730605e5b41fa2c6.png,10.0,691.683,856.0,426.0
S-005,,image-67e882c39626fb0678473524f0455816c0016189,81483756c584aa022eae434213ef538f86e32a707f2e0c7b9fa2204fb07f4ea0,81483756c584aa022eae434213ef538f86e32a707f2e0c7b9fa2204fb07f4ea0.png,1230.106,1079.173,1047.0,259.0
S-006,,image-54001f9e4896a36b2dda52b644896856b6571cc9,cc03fc6cc7a2d470527159bdb508824f0c88d68c2bd5b51968a23c2df0fac066,cc03fc6cc7a2d470527159bdb508824f0c88d68c2bd5b51968a23c2df0fac066.png,35.333,1145.683,832.0,438.0
