text_id,text,x,y,region_id,status,transcript_file,authoritative_transcript
T-001,array keys,306.31092298617955,512.5694892178191,R01,closed,01-transcript-R01-route-params-arrays-csv-and-query-binding.md,02-full-combined-final-transcript.md
T-002,composite keys,684.4927411679976,552.5694892178191,R01,closed,01-transcript-R01-route-params-arrays-csv-and-query-binding.md,02-full-combined-final-transcript.md
T-003,passing array of ids,192.97759567351682,739.23614384313,R01,closed,01-transcript-R01-route-params-arrays-csv-and-query-binding.md,02-full-combined-final-transcript.md
T-004,!!!,169.34123203715376,1133.5008685817309,R01,closed,01-transcript-R01-route-params-arrays-csv-and-query-binding.md,02-full-combined-final-transcript.md
T-005,"No implicit binding with guids, just with simple types",245.7048684007898,1140.4482530139112,R01,closed,01-transcript-R01-route-params-arrays-csv-and-query-binding.md,02-full-combined-final-transcript.md
T-006,Could accept strings and parse them but want to create custom binder,251.07281923657524,1193.4785415120323,R01,closed,01-transcript-R01-route-params-arrays-csv-and-query-binding.md,02-full-combined-final-transcript.md
T-007,(in course),950.8995784758706,1195.906396174546,R01,closed,01-transcript-R01-route-params-arrays-csv-and-query-binding.md,02-full-combined-final-transcript.md
