label_id,region,semantic_review_status,x,y,text
T-001,R01,processed,4967.037113474713,714.0026320650823,"ADDING FORMATTERS,"
T-002,R01,processed,4967.037113474713,714.0026320650823,DEFALULT CHANGES TO XML
T-003,R01,processed,4974.546870907658,957.9452614878228,with this need newtonsoft json
T-004,R01,processed,4926.6717475489895,1410.6323232352133,"Can get updated object, but default output media type for our api has switched to xml"
T-005,R01,processed,4926.6717475489895,1410.6323232352133,somehow
T-006,R01,processed,5034.999894459191,2248.5612100601993,system.text.json is first formatter
T-007,R01,processed,5034.999894459191,2248.5612100601993,"we have changed it to newtonsoftjson,"
T-008,R01,processed,5034.999894459191,2248.5612100601993,so the first formatter is xml formatter
T-009,R01,processed,4753.57028532014,2380.035914402424,ADD TO CONTENT NEGOTIATIONS ALL THIS
T-010,R01,processed,4698.369833859208,2606.1436276426084,then its being ovveriden
T-011,R01,processed,4698.369833859208,2606.1436276426084,by json.net
T-012,R01,processed,4698.369833859208,2606.1436276426084,so xml is the first formatter
T-013,R01,processed,4698.369833859208,2606.1436276426084,and the default one
T-014,R01,processed,5004.677528243385,2871.1692703800345,need to do it so
T-015,R01,processed,4597.3868823282555,3149.932624921579,default xml serializer doesnt have
T-016,R01,processed,4597.3868823282555,3149.932624921579,"to support all types, this - does"
T-017,R01,processed,2935.7313528948525,4583.434717874099,"Can insert formatter at 0 index, so it will be default"
T-018,R01,processed,2935.7313528948525,4583.434717874099,(in httpclient course did)
T-019,R01,processed,2860.1436879978583,5659.033313320465,ADVANCED CN THINGS
T-020,R01,processed,2860.1436879978583,5659.033313320465,(AND LOWER)
T-021,R01,processed,2860.1436879978583,5659.033313320465,SEMANTIC MEDIA TYPES
T-022,R02,processed,4730.01291657397,6179.57924143753,ORIGINAL
T-023,R02,processed,3825.5934919136726,8845.788479711291,+ ONLY WITH
T-024,R02,processed,3825.5934919136726,8845.788479711291,CONVENTIONAL TYPES
T-025,R02,processed,4470.77439084168,9078.155686379409,!!!!
T-026,R02,processed,4053.1135106841457,9120.203902028448,getting media type from
T-027,R02,processed,4053.1135106841457,9120.203902028448,header
T-028,R02,processed,2941.8233550851846,9583.119598603056,need this
T-029,R02,processed,4217.250354634467,9700.340652078527,checking if we can parse
T-030,R02,processed,4217.250354634467,9700.340652078527,value from
T-031,R02,processed,4217.250354634467,9700.340652078527,accept header media type
T-032,R02,processed,4217.250354634467,9700.340652078527,(if the string is valid for
T-033,R02,processed,4217.250354634467,9700.340652078527,any media type)
T-034,R02,processed,2659.2207680562115,9885.288290578754,have problemdetailsfactory injected
T-035,R02,processed,5392.8150548791455,10207.707254290943,using Microsoft.AspNetCore.Mvc;
T-036,R02,processed,5392.8150548791455,10207.707254290943,using Microsoft.Net.Http.Headers;
