image_use,symbol_id,asset_id,x,y,width,height,center_x,center_y,region,review_status,transcript_file
IU-030,image-bd869a396e480c9a07219eeb5cc273ce7f46b5d4,A-038,3246.1602168732943,3900.765082768403,633.0,376.0,3562.6602168732943,4088.765082768403,R02,verified,regions/R02-shaping-extensions-controller-flow.md
IU-031,image-a71d70a4a561e28c3b696d6f9416e11af2b63c65,A-037,3182.7616152860264,4305.5568002977,835.0,219.0,3600.2616152860264,4415.0568002977,R02,verified,regions/R02-shaping-extensions-controller-flow.md
IU-032,image-1f50012488795a95310e5b1eca2045f69d04a7fc,A-036,3158.094364554625,4620.994993576927,870.0,429.0,3593.094364554625,4835.494993576927,R02,verified,regions/R02-shaping-extensions-controller-flow.md
IU-033,image-c3c47c0d6fbad4806d797ea0dcd81bcf9030e792,A-035,3128.099908596274,5060.248295362364,855.0,315.0,3555.599908596274,5217.748295362364,R02,verified,regions/R02-shaping-extensions-controller-flow.md
IU-034,image-5b6623d99e53447df7ad32723d27f9b7c8214f23,A-034,4316.28947390617,5244.211765053304,714.0,86.0,4673.28947390617,5287.211765053304,R02,verified,regions/R02-shaping-extensions-controller-flow.md
IU-035,image-04b28b409eb9e3c8df9540e48a6aedd98c599e35,A-033,2402.7612930504774,4705.841913127464,642.0,482.0,2723.7612930504774,4946.841913127464,R02,verified,regions/R02-shaping-extensions-controller-flow.md
IU-036,image-9850bcef5dfd5d92be34f0b35ef720f12598979c,A-032,3112.601351265601,5554.434100413404,734.0,482.0,3479.601351265601,5795.434100413404,R02,verified,regions/R02-shaping-extensions-controller-flow.md
IU-037,image-955526008e3100535ba879fc9b2e2dda2307a3c9,A-040,4323.317256438694,7252.879762831955,775.0,499.0,4710.817256438694,7502.379762831955,R03,verified,regions/R03-expando-dictionary-dynamic-alternatives.md
IU-038,image-5c91cab0a0fe56e5e926580f53111e45a56b9c95,A-039,4334.208981465184,7815.354363562998,753.0,365.0,4710.708981465184,7997.854363562998,R03,verified,regions/R03-expando-dictionary-dynamic-alternatives.md
IU-039,image-bd869a396e480c9a07219eeb5cc273ce7f46b5d4,A-038,4351.432017453853,8208.155724700257,633.0,376.0,4667.932017453853,8396.155724700257,R03,verified,regions/R03-expando-dictionary-dynamic-alternatives.md
IU-040,image-a71d70a4a561e28c3b696d6f9416e11af2b63c65,A-037,4288.0334158665855,8612.947442229553,835.0,219.0,4705.5334158665855,8722.447442229553,R03,verified,regions/R03-expando-dictionary-dynamic-alternatives.md
IU-041,image-24ef28420707d79ccfbf64e33850b741f0b64c19,A-031,4279.554997220339,8903.235383351643,854.0,289.0,4706.554997220339,9047.735383351643,R03,verified,regions/R03-expando-dictionary-dynamic-alternatives.md
IU-042,image-56e99ccad7c07e629e2d5dd10ac6615270aee6a5,A-030,4342.543885806814,9221.306811923072,652.0,430.0,4668.543885806814,9436.306811923072,R03,verified,regions/R03-expando-dictionary-dynamic-alternatives.md
IU-043,image-efc7d800fecfc60d698347fdfe7268549f6ad125,A-029,4304.912096480941,9708.37819689796,809.0,273.0,4709.412096480941,9844.87819689796,R03,verified,regions/R03-expando-dictionary-dynamic-alternatives.md
