image_id,filename,sha256,sha256_12,mime_type,byte_size,pixel_width,pixel_height,mode,use_count,status
image-3f84a99b18e15e25bceb7043f4436d77ab1865a9,5c3bf88ce4a2.png,5c3bf88ce4a233ac28ecd5a9f79922951e11785f602e6a2f042123ac804030e9,5c3bf88ce4a2,image/png,18354,884,216,RGBA,1,extracted
image-26789465683d367d1abd0d0bbdb88187a7d73b94,a2af07d3a605.png,a2af07d3a605a6e5ed2bb4959c1bb9e13c85e8bacbc3462a2cf0abf81627591a,a2af07d3a605,image/png,45365,895,556,RGBA,1,extracted
image-f916568755d9a3fcb28d0db537553d664752eac2,448605e5eade.png,448605e5eadeb586a3bf094864048e291a970fa8cc9752290c71d63ada6f5100,448605e5eade,image/png,42463,858,536,RGBA,1,extracted
image-a9c2e0d5c914b96825141a9d95081eea24137109,e7bdb34d77ae.png,e7bdb34d77ae0731e14d1ff6a3ca213ec39de9f22bed7065e6664ac4dfad1657,e7bdb34d77ae,image/png,51821,860,590,RGBA,1,extracted
image-50917f319a3e5469af008f8226a6390ac4900ebb,dddff925b1f1.png,dddff925b1f1a22bbd2e9de6815e282ead5154d15b821030df38703722b6c8f6,dddff925b1f1,image/png,61502,665,658,RGBA,1,extracted
